# DES-SN Y5 (Dovekie HD): CID z_HD mu sigma_total
# sigma_total = sqrt(MUERR^2 + MUERR_VPEC^2 + MUERR_SYS^2)
# N_unique_SN = 1820 (1623 DES + 197 external low-z); N_rows = 1820
# Source: DES Collaboration, DES-SN5YR data release (public)
Gaia16agf 0.02509 35.25995 0.199874
2003it 0.02510 35.08017 0.184353
2007cq 0.02510 34.98002 0.155687
AT2017cfc 0.02512 35.13565 0.146885
2007sw 0.02517 35.21658 0.176714
2002he 0.02519 35.23294 0.148756
ASASSN-16bq 0.02534 35.34029 0.141696
PS15ahs 0.02534 35.30465 0.136342
PSNJ0153424 0.02556 35.26944 0.171020
SN2017hn 0.02557 35.20203 0.145402
SN2017ms 0.02591 35.33251 0.137862
2005M 0.02598 35.16595 0.161943
SN2017mf 0.02598 35.36794 0.158117
2005ms 0.02669 35.48988 0.138117
ASASSN-15mf 0.02695 35.32860 0.128397
ASASSN-17at 0.02713 35.38339 0.141798
2007co 0.02731 35.42170 0.217975
2007su 0.02740 35.40320 0.295729
ASASSN-15fa 0.02741 35.58097 0.164754
2005na 0.02748 35.27905 0.123449
2005eq 0.02823 35.63531 0.139252
2003U 0.02833 35.33929 0.168340
2009ad 0.02844 35.46983 0.123738
2008ar 0.02849 35.45147 0.131047
AT2017ns 0.02849 35.47203 0.205951
2004gs 0.02857 35.54768 0.192231
SN2017ckx 0.02858 35.56905 0.154119
2007is 0.02866 35.58174 0.172362
2006qo 0.02898 35.52838 0.215863
ASASSN-15la 0.02902 35.17845 0.153607
PS16cvc 0.02915 35.81677 0.125031
2003ch 0.02919 35.74741 0.139965
ASASSN-16ay 0.02938 35.70388 0.222055
PSNJ0859349 0.02938 35.55198 0.186056
ASASSN-16fs 0.02944 35.44070 0.132385
ASASSN-16aj 0.02953 35.53344 0.138145
ASASSN-16br 0.02956 35.56537 0.139349
AT2017zd 0.02969 35.38500 0.166001
ATLAS17ajn 0.02978 35.71706 0.145901
Gaia16bba 0.02990 35.52993 0.131279
2004ef 0.03012 35.54730 0.157054
ASASSN-15nq 0.03023 35.69492 0.117232
AT2017lm 0.03031 35.62306 0.149885
ASASSN-16fo 0.03036 35.61376 0.124484
AT2016cyt 0.03059 35.51070 0.125216
2006is 0.03071 35.72373 0.151839
ASASSN-16hr 0.03083 35.60979 0.192972
PS15cwx 0.03086 35.56461 0.133396
AT2017wb 0.03117 35.58907 0.199605
2007bd 0.03120 35.70509 0.122897
2002hd 0.03134 36.00315 0.213084
ASASSN-15hg 0.03143 35.81350 0.148283
ATLAS17axb 0.03143 35.73926 0.139410
CSS160428 0.03148 35.77221 0.152403
2007R 0.03174 35.84381 0.125520
ASASSN-16oz 0.03192 35.54453 0.131914
2006az 0.03201 35.60595 0.117214
2007ob 0.03243 35.74894 0.219223
AT2017po 0.03255 35.72144 0.129018
2007ux 0.03264 35.67592 0.179322
ASASSN-15pr 0.03264 36.05743 0.146300
2004gc 0.03267 35.53403 0.165988
2008gl 0.03272 35.80144 0.116259
SN2016hpx 0.03282 35.73067 0.137132
SN2017cii 0.03289 35.95132 0.130626
2006te 0.03290 35.86396 0.117724
2004as 0.03296 35.89486 0.189555
ASASSN-16bc 0.03298 35.83813 0.110727
2008gp 0.03333 35.79166 0.110354
2010ag 0.03335 35.61700 0.178956
2005iq 0.03341 36.04919 0.109517
PS15bsq 0.03371 35.94327 0.107397
2004L 0.03373 35.91770 0.273259
2003cq 0.03378 35.83146 0.300223
2006S 0.03393 36.02516 0.180155
2006gr 0.03428 36.06484 0.160543
ASASSN-16dw 0.03437 35.88308 0.157505
ATLAS17ajs 0.03451 35.99496 0.255563
2003kc 0.03479 35.90221 0.215941
2003iv 0.03491 36.01126 0.152036
ASASSN-15jl 0.03512 36.01851 0.117096
